id,area,feature,detection_method,evidence_source,twenty_native,n8n_role,disposition_hypothesis,notes
DM-01,Data Model,Contact custom fields,api,raw/custom_fields.json,full,none,TWENTY,"Map to Person/Company fields. Count fields with <2% fill as DROP candidates."
DM-02,Data Model,Opportunity custom fields,api,raw/custom_fields.json,full,none,TWENTY,"Map to Opportunity fields."
DM-03,Data Model,Custom objects,api,raw/custom_objects.json,full,none,TWENTY,"Twenty custom objects are stronger than GHL's. Direct win."
DM-04,Data Model,Custom values (merge variables),api,raw/custom_values.json,partial,supporting,TWENTY+N8N,"Twenty has no account-level variable store. Hold in n8n env or a settings object."
DM-05,Data Model,Tags,api,raw/tags.json,full,none,TWENTY,"Check whether tags encode workflow state rather than describing contacts — those become fields, not tags."
DM-06,Data Model,Companies / businesses,api,raw/businesses.json,full,none,TWENTY,"Maps to Twenty Company."
DM-07,Data Model,DND / consent flags,api,raw/custom_fields.json,partial,supporting,ESCALATE,"Consent must be enforced at send time. Twenty cannot enforce it because Twenty does not send campaigns."
CT-01,Contacts & Segmentation,Smart lists / saved filters,ui,ui-observation,full,none,TWENTY,"Twenty saved views are equivalent."
CT-02,Contacts & Segmentation,Bulk actions on contacts,ui,ui-observation,partial,supporting,TWENTY+N8N,"Twenty supports bulk edit; bulk workflow enrolment differs."
CT-03,Contacts & Segmentation,Import / export CSV,ui,ui-observation,full,none,TWENTY,"Twenty has native CSV import."
CT-04,Contacts & Segmentation,Duplicate detection / merge,ui,ui-observation,partial,primary,TWENTY+N8N,"Dedup logic belongs in n8n at ingest."
CT-05,Contacts & Segmentation,Manual actions queue (call/SMS tasks),ui,ui-observation,partial,supporting,TWENTY+N8N,"Twenty Tasks cover the queue; the dialer does not exist."
CT-06,Contacts & Segmentation,Notes and tasks on records,api,ui-observation,full,none,TWENTY,"Native."
OP-01,Opportunities & Pipelines,Pipelines and stages,api,raw/pipelines.json,full,none,TWENTY,"Direct map. Count stages per pipeline."
OP-02,Opportunities & Pipelines,Opportunity value / forecasting,api,raw/pipelines.json,partial,supporting,TWENTY+N8N,"Twenty forecasting is weaker than GHL. Confirm what is actually used before calling it a gap."
OP-03,Opportunities & Pipelines,Pipeline automation triggers,api,raw/workflows.json,full,supporting,TWENTY,"Twenty record-updated triggers cover stage changes."
