id,ghl_area,feature,in_use,evidence,volume_90d,criticality,disposition,twenty_component,n8n_component,effort_days,notes
DM-01,Data Model,Contact custom fields,unknown,raw/custom_fields.json not pulled yet,,,TWENTY,full,none,,Map to Person/Company fields. Count fields with <2% fill as DROP candidates.
DM-02,Data Model,Opportunity custom fields,unknown,raw/custom_fields.json not pulled yet,,,TWENTY,full,none,,Map to Opportunity fields.
DM-03,Data Model,Custom objects,unknown,raw/custom_objects.json not pulled yet,,,TWENTY,full,none,,Twenty custom objects are stronger than GHL's. Direct win.
DM-04,Data Model,Custom values (merge variables),unknown,raw/custom_values.json not pulled yet,,,TWENTY+N8N,partial,supporting,,Twenty has no account-level variable store. Hold in n8n env or a settings object.
DM-05,Data Model,Tags,unknown,raw/tags.json not pulled yet,,,TWENTY,full,none,,"Check whether tags encode workflow state rather than describing contacts — those become fields, not tags."
DM-06,Data Model,Companies / businesses,unknown,raw/businesses.json not pulled yet,,,TWENTY,full,none,,Maps to Twenty Company.
DM-07,Data Model,DND / consent flags,unknown,requires manual UI check,,,ESCALATE,partial,supporting,,Consent must be enforced at send time. Twenty cannot enforce it because Twenty does not send campaigns.
CT-01,Contacts & Segmentation,Smart lists / saved filters,unknown,requires manual UI check,,,TWENTY,full,none,,Twenty saved views are equivalent.
CT-02,Contacts & Segmentation,Bulk actions on contacts,unknown,requires manual UI check,,,TWENTY+N8N,partial,supporting,,Twenty supports bulk edit; bulk workflow enrolment differs.
CT-03,Contacts & Segmentation,Import / export CSV,unknown,requires manual UI check,,,TWENTY,full,none,,Twenty has native CSV import.
CT-04,Contacts & Segmentation,Duplicate detection / merge,unknown,requires manual UI check,,,TWENTY+N8N,partial,primary,,Dedup logic belongs in n8n at ingest.
CT-05,Contacts & Segmentation,Manual actions queue (call/SMS tasks),unknown,requires manual UI check,,,TWENTY+N8N,partial,supporting,,Twenty Tasks cover the queue; the dialer does not exist.
CT-06,Contacts & Segmentation,Notes and tasks on records,unknown,requires manual UI check,,,TWENTY,full,none,,Native.
OP-01,Opportunities & Pipelines,Pipelines and stages,unknown,raw/pipelines.json not pulled yet,,,TWENTY,full,none,,Direct map. Count stages per pipeline.
OP-02,Opportunities & Pipelines,Opportunity value / forecasting,unknown,raw/pipelines.json not pulled yet,,,TWENTY+N8N,partial,supporting,,Twenty forecasting is weaker than GHL. Confirm what is actually used before calling it a gap.
OP-03,Opportunities & Pipelines,Pipeline automation triggers,unknown,raw/workflows.json not pulled yet,,,TWENTY,full,supporting,,Twenty record-updated triggers cover stage changes.
CV-01,Conversations & Inbox,Unified inbox,unknown,raw/conversations.json not pulled yet,,,ESCALATE,none,none,,Twenty has no inbox. Email threads sync to records only.
CV-02,Conversations & Inbox,SMS conversations,unknown,raw/conversations.json not pulled yet,,,ESCALATE,none,none,,No SMS in Twenty.
CV-03,Conversations & Inbox,WhatsApp,unknown,raw/conversations.json not pulled yet,,,ESCALATE,none,primary,,"n8n can route via a provider; needs vendor decision. Confirm the type enum values against the first real pull — an unrecognised field yields unknown, not no, so this fails safe."
CV-04,Conversations & Inbox,Facebook / Instagram DM,unknown,raw/conversations.json not pulled yet,,,ESCALATE,none,primary,,Vendor decision.
CV-05,Conversations & Inbox,Google Business Messages,unknown,raw/conversations.json not pulled yet,,,ESCALATE,none,primary,,Vendor decision.
CV-06,Conversations & Inbox,Live chat widget,unknown,requires manual UI check,,,ESCALATE,none,none,,No equivalent.
CV-07,Conversations & Inbox,Snippets / canned replies,unknown,raw/templates_sms.json not pulled yet,,,ESCALATE,none,supporting,,Tied to the inbox that does not exist.
EM-01,Email & Templates,Email templates,unknown,raw/templates_email.json not pulled yet,,,TWENTY+N8N,partial,supporting,,Twenty Send Email has no template library. Templates live in n8n or the sending vendor.
EM-02,Email & Templates,Drag-and-drop email builder,unknown,raw/email_builder_templates.json not pulled yet,,,ESCALATE,none,none,,editorData is not readable back via API — HTML export only. Rebuild cost is real.
EM-03,Email & Templates,Bulk / campaign email send,unknown,requires manual UI check,,,ESCALATE,none,partial,,"HARD CEILING. Twenty Send Email = synced mailbox, one recipient per action."
EM-04,Email & Templates,Drip sequences,unknown,workflow internals not captured yet,,,TWENTY+N8N,partial,primary,,n8n Wait + Twenty Delay can sequence; sending still needs a vendor.
EM-05,Email & Templates,Trigger links / click tracking,unknown,raw/trigger_links.json not pulled yet,,,N8N,none,primary,,n8n webhook redirect can reproduce this.
EM-06,Email & Templates,Dedicated sending domain / DKIM / SPF,unknown,requires manual UI check,,,ESCALATE,none,none,,Deliverability infrastructure. Vendor decision.
EM-07,Email & Templates,Unsubscribe / suppression list,unknown,requires manual UI check,,,ESCALATE,none,partial,,Compliance-critical. Must not be lost at cutover.
EM-08,Email & Templates,Email verification,unknown,requires manual UI check,,,N8N,none,primary,,n8n plus a verification API.
EM-09,Email & Templates,Scheduled email sends,unknown,raw/email_schedules.json not pulled yet,,,TWENTY+N8N,partial,primary,,Twenty schedule trigger plus n8n.
SM-01,SMS & Telephony,SMS sending,unknown,raw/templates_sms.json not pulled yet,,,ESCALATE,none,partial,,HARD CEILING. Vendor decision.
SM-02,SMS & Telephony,Phone numbers (LC Phone),unknown,requires manual UI check,,,ESCALATE,none,none,,Number ownership and porting. Vendor decision.
SM-03,SMS & Telephony,A2P 10DLC registration,unknown,requires manual UI check,,,ESCALATE,none,none,,Regulatory registration is tied to the number provider. Long lead time — flag early.
SM-04,SMS & Telephony,Inbound call routing / IVR,unknown,requires manual UI check,,,ESCALATE,none,none,,Vendor decision.
SM-05,SMS & Telephony,Call recording,unknown,requires manual UI check,,,ESCALATE,none,none,,Retention and consent implications.
SM-06,SMS & Telephony,Voicemail drop,unknown,requires manual UI check,,,ESCALATE,none,none,,Vendor decision.
SM-07,SMS & Telephony,Missed-call text-back,unknown,requires manual UI check,,,ESCALATE,none,partial,,Depends on telephony vendor.
AI-01,Voice & AI Features,Voice AI agents,unknown,raw/voice_ai_agents.json not pulled yet,,,ESCALATE,none,partial,,Export the prompts regardless of disposition — the prompt is the asset.
AI-02,Voice & AI Features,Conversation AI bot,unknown,requires manual UI check,,,N8N,none,primary,,"n8n plus LLM gateway can reproduce, if a channel exists to speak on."
AI-03,Voice & AI Features,Content AI,unknown,requires manual UI check,,,N8N,none,primary,,n8n plus LLM gateway.
AI-04,Voice & AI Features,Reviews AI,unknown,requires manual UI check,,,N8N,none,primary,,Depends on review platform access.
AI-05,Voice & AI Features,Workflow AI assistant,unknown,requires manual UI check,,,DROP-CANDIDATE,none,none,,"Authoring aid, not a running feature. Usually safe to drop."
CL-01,Calendars & Scheduling,Calendars and availability,unknown,raw/calendars.json not pulled yet,,,ESCALATE,none,partial,,Twenty has no booking engine.
CL-02,Calendars & Scheduling,Public booking pages,unknown,raw/calendars.json not pulled yet,,,ESCALATE,none,none,,Vendor decision — this is usually the most-missed feature at cutover.
CL-03,Calendars & Scheduling,Round-robin / team distribution,unknown,raw/calendar_groups.json not pulled yet,,,ESCALATE,none,partial,,Assignment logic can move to n8n; the booking surface cannot.
CL-04,Calendars & Scheduling,Appointment reminders,unknown,raw/workflows.json not pulled yet,,,TWENTY+N8N,partial,primary,,Sending channel still needs a vendor.
CL-05,Calendars & Scheduling,Booking volume (evidence),unknown,raw/calendar_events.json not pulled yet,,,UNKNOWN,n/a,n/a,,Evidence row. Zero bookings in 90 days makes CL-01..04 DROP candidates.
FS-01,Forms & Surveys,Forms,unknown,raw/forms.json not pulled yet,,,ESCALATE,none,partial,,Twenty has no public forms. n8n webhook plus a hosted form tool.
